search_term,title,artist
Adele,Hello,Adele
Adele,Easy On Me,Adele
Adele,Someone Like You,Adele
Adele,Rolling in the Deep,Adele
Adele,When We Were Young,Adele
Adele,Set Fire to the Rain,Adele
Adele,All I Ask,Adele
Adele,Let It Go,Idina Menzel
Adele,Dollhouse,Melanie Martinez
Adele,Send My Love (To Your New Lover),Adele
Drake,God’s Plan,Drake
Drake,In My Feelings,Drake
Drake,Hotline Bling,Drake
Drake,One Dance,Drake
Drake,"Hold On, We’re Going Home",Drake
Drake,Know Yourself,Drake
Drake,Back to Back,Drake
Drake,All Me,Drake
Drake,From Time,Drake
Drake,Fake Love,Drake
BTS,Dynamite,BTS
BTS,Butter,BTS
BTS,BTS – 봄날 (Spring Day) (English Translation),Genius English Translations
BTS,BTS - Magic Shop (English Translation),Genius English Translations
BTS,BTS - FAKE LOVE (English Translation),Genius English Translations
BTS,BTS - 전하지 못한 진심 (The Truth Untold) ft. Steve Aoki (English Translation),Genius English Translations
BTS,BTS - 작은 것들을 위한 시 (Boy With Luv) ft. Halsey (Romanized),Genius Romanizations
BTS,BTS - Pied Piper (English Translation),Genius English Translations
BTS,FAKE LOVE,BTS
BTS,BTS - Life Goes On (English Translation),Genius English Translations
